"ENSEMBL","ENTREZID","SYMBOL","GENENAME","logFC","logCPM","F","PValue","FDR"
"ENSG00000104881","10848","PPP1R13L","protein phosphatase 1 regulatory subunit 13 like",2.53823535347367,6.40539658807267,244.336157515896,4.70697907798761e-07,0.000157798662804434
"ENSG00000175600","79783","SUGCT","succinyl-CoA:glutarate-CoA transferase",-5.72555744069533,5.18197180315326,243.512645589213,4.78596682850094e-07,0.000157798662804434
"ENSG00000150779","26521","TIMM8B","translocase of inner mitochondrial membrane 8 homolog B",-3.9506458435596,6.0779484948347,243.064961475097,4.79962670216228e-07,0.000157798662804434
"ENSG00000108950","54757","FAM20A","FAM20A golgi associated secretory pathway pseudokinase",-7.59866412081995,2.10216410918333,112.721514460792,4.81041105990653e-07,0.000157798662804434
"ENSG00000105373","29997","NOP53","NOP53 ribosome biogenesis factor",2.18836661793344,9.94540940077818,241.57613047013,4.90892717878365e-07,0.000158205249603957
"ENSG00000075624","60","ACTB","actin beta",-2.74035399149345,11.2437237308132,237.734446885554,5.20863913885507e-07,0.000164970174104772
"ENSG00000179532","144132","DNHD1","dynein heavy chain domain 1",2.66149239936687,5.61835792415646,234.915929073145,5.44369832528275e-07,0.000169492776670244
"ENSG00000180447","2619","GAS1","growth arrest specific 1",-4.68822586051338,2.86937543771407,235.687332961387,5.56586461678228e-07,0.000170408221683817
"ENSG00000124440","64344","HIF3A","hypoxia inducible factor 3 subunit alpha",4.10592849644957,4.25486351052892,230.965246521449,5.8039399714447e-07,0.000172224345499069
"ENSG00000214617",NA,NA,NA,-3.29801055797393,4.00865496028065,230.840795497269,5.81268885190108e-07,0.000172224345499069
"ENSG00000231555","3304","HSPA1B","heat shock protein family A (Hsp70) member 1B",4.87697135356282,11.2018596685682,226.503995530762,6.22801854352737e-07,0.000181537247788236
"ENSG00000173530","8793","TNFRSF10D","TNF receptor superfamily member 10d",-2.07238376873484,9.96617433907919,225.56107434865,6.32465098445677e-07,0.000181537247788236
"ENSG00000211448","1734","DIO2","iodothyronine deiodinase 2",-3.1159671416929,5.01221614972282,224.104245354654,6.48000785778606e-07,0.000182118679004949
"ENSG00000151725","79682","CENPU","centromere protein U",5.02782909239789,2.75367117782543,224.53258388239,6.76913429850416e-07,0.000182118679004949
"ENSG00000270882","8370","H4C14","H4 clustered histone 14",-6.20476757571856,4.27223885585867,223.109770329049,6.8399304033413e-07,0.000182118679004949
"ENSG00000163297","118429","ANTXR2","ANTXR cell adhesion molecule 2",-2.41478689258668,7.43837607823987,220.688899273662,6.85529695900753e-07,0.000182118679004949
"ENSG00000011465","1634","DCN","decorin",-4.29061152679149,6.51577171767825,220.427138935167,6.88665880164189e-07,0.000182118679004949
"ENSG00000188343","137392","CIBAR1","CBY1 interacting BAR domain containing 1",2.5340677256694,5.79213426479392,219.95808190313,6.93974280367254e-07,0.000182118679004949
"ENSG00000180730","387914","SHISA2","shisa family member 2",-4.41233268715311,3.76592197031678,217.580873483202,7.2581069847852e-07,0.00018779073987395
"ENSG00000055163","26999","CYFIP2","cytoplasmic FMR1 interacting protein 2",-3.47240993890042,4.87499656929442,215.125904412092,7.5359942658751e-07,0.000190824780180052
"ENSG00000159200","1827","RCAN1","regulator of calcineurin 1",-2.52764457219398,7.12279192813423,214.730660376349,7.58312953355677e-07,0.000190824780180052
"ENSG00000182472","147968","CAPN12","calpain 12",3.66729701956551,2.87650890031962,213.195289886115,7.82520691489305e-07,0.00019425547436025
"ENSG00000159261","23562","CLDN14","claudin 14",2.64493261791072,5.15189333383851,210.553043565692,8.15371533355481e-07,0.000197949689666089
"ENSG00000105509","3036","HAS1","hyaluronan synthase 1",-4.5357103594734,7.6301750542648,210.216381160494,8.20063121396716e-07,0.000197949689666089
"ENSG00000183853","55243","KIRREL1","kirre like nephrin family adhesion molecule 1",-2.33325423570265,7.53682867806726,207.990179480692,8.52839081097963e-07,0.000197949689666089
"ENSG00000133687","83857","TMTC1","transmembrane O-mannosyltransferase targeting cadherins 1",-4.15790943875476,5.81998698801006,207.860125445103,8.55115888678857e-07,0.000197949689666089
"ENSG00000137171","89953","KLC4","kinesin light chain 4",2.35890692098722,5.85903504053353,207.344263361997,8.62666579047272e-07,0.000197949689666089
"ENSG00000171867","5621","PRNP","prion protein (Kanno blood group)",-2.29707601359205,8.91773439091763,206.635858029637,8.73596093414564e-07,0.000197949689666089
"ENSG00000121440","23024","PDZRN3","PDZ domain containing ring finger 3",-3.14943171203567,4.35483468177505,206.069680666363,8.83038645109212e-07,0.000197949689666089
"ENSG00000280303",NA,NA,NA,-4.47083241595758,-0.509946601158128,113.246635196681,8.83607760077261e-07,0.000197949689666089
"ENSG00000236824","618","BCYRN1","brain cytoplasmic RNA 1",-3.72545377314379,6.82179144735017,205.160929223356,8.96946415794464e-07,0.000198516935640293
"ENSG00000234475","3303","HSPA1A","heat shock protein family A (Hsp70) member 1A",4.68502786526244,10.2071538870494,204.073133456912,9.14652382268388e-07,0.000199281678882966
