"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030425","dendrite","98/2086","461/13159",0.212581344902386,1.34101530084875,3.23501359431854,0.00109666422049625,0.0309259310179941,0.0309259310179941,"91752/10445/50944/7976/2043/1072/3572/57451/23208/1620/25921/114/3356/57521/1410/10008/4135/9758/57537/28988/79414/134/2931/2596/85358/7070/794/2047/5538/166336/4038/4311/22871/9456/2894/1312/114088/55243/8470/8775/9127/3751/113451/9162/9454/22902/658/66008/775/7779/120114/64084/23034/64506/575/79641/1393/2534/79890/1020/3749/25983/5621/2550/25945/3363/4804/5800/6252/2002/28976/4130/1535/2051/27065/23413/214/66004/2044/5064/257194/9455/9479/9371/2258/126129/3752/2903/149111/3748/3759/4535/5179/23098/349667/10769/9638/5818",98
"GO:0097447","dendritic tree","98/2086","461/13159",0.212581344902386,1.34101530084875,3.23501359431854,0.00109666422049625,0.0309259310179941,0.0309259310179941,"91752/10445/50944/7976/2043/1072/3572/57451/23208/1620/25921/114/3356/57521/1410/10008/4135/9758/57537/28988/79414/134/2931/2596/85358/7070/794/2047/5538/166336/4038/4311/22871/9456/2894/1312/114088/55243/8470/8775/9127/3751/113451/9162/9454/22902/658/66008/775/7779/120114/64084/23034/64506/575/79641/1393/2534/79890/1020/3749/25983/5621/2550/25945/3363/4804/5800/6252/2002/28976/4130/1535/2051/27065/23413/214/66004/2044/5064/257194/9455/9479/9371/2258/126129/3752/2903/149111/3748/3759/4535/5179/23098/349667/10769/9638/5818",98
"GO:0044297","cell body","85/2086","394/13159",0.215736040609137,1.36091589567384,3.15691693166059,0.00145372342496114,0.0383658850127107,0.0383658850127107,"91752/6583/10445/6376/23245/6863/7976/841/2043/5798/1072/114757/5274/3572/23208/6520/128240/1620/114/3356/57521/1410/11075/10008/57537/28988/63895/134/2931/2596/6324/7070/55273/8507/5538/4038/4311/8470/8775/9127/3751/113451/22902/658/66008/3054/79594/775/2768/6507/79641/1393/2534/79890/1020/1525/3749/10439/7345/2550/2674/4741/4804/494513/6252/63826/2002/4130/5959/1535/214/6558/2044/55238/257194/5754/9479/3752/3748/3759/4535/5179/146760/349667/9638",85
"GO:0043204","perikaryon","29/2086","105/13159",0.276190476190476,1.74227731361001,3.31442713455987,0.00146933176644424,0.0383658850127107,0.0383658850127107,"10445/23245/2043/5798/5274/23208/1410/10008/57537/28988/2596/6324/55273/8775/3751/113451/22902/775/79641/1393/2534/1020/10439/4741/4804/3748/5179/146760/349667",29
"GO:0044298","cell body membrane","8/2086","16/13159",0.5,3.15412272291467,3.74198999884097,0.00152647055976726,0.0384343480227114,0.0384343480227114,"114/10008/63895/7070/3751/3749/6558/3748",8
"GO:0000220","vacuolar proton-transporting V-type ATPase, V0 domain","6/2086","10/13159",0.6,3.7849472674976,3.82375498981964,0.00185538709510529,0.0436015967349743,0.0436015967349743,"527/440400/9114/535/8992/533",6
"GO:0005883","neurofilament","6/2086","10/13159",0.6,3.7849472674976,3.82375498981964,0.00185538709510529,0.0436015967349743,0.0436015967349743,"3356/9118/5010/4747/4741/8829",6
"GO:0000315","organellar large ribosomal subunit","17/2086","52/13159",0.326923076923077,2.06231101113651,3.33135678968422,0.00198903625167497,0.0438209549197141,0.0438209549197141,"51264/122704/28977/57129/116541/64975/90480/3396/65008/64979/6182/55168/79590/78988/55052/26589/9553",17
"GO:0005762","mitochondrial large ribosomal subunit","17/2086","52/13159",0.326923076923077,2.06231101113651,3.33135678968422,0.00198903625167497,0.0438209549197141,0.0438209549197141,"51264/122704/28977/57129/116541/64975/90480/3396/65008/64979/6182/55168/79590/78988/55052/26589/9553",17
"GO:0033176","proton-transporting V-type ATPase complex","10/2086","24/13159",0.416666666666667,2.62843560242889,3.46561739005549,0.00225542959640896,0.0481841777414642,0.0481841777414642,"527/51382/537/440400/9114/535/8992/529/533/9550",10
