"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"GO:0031023","microtubule organizing center organization",142,0.425374468865422,1.79904241930503,3.48167075132875e-05,0.00161563633753407,0.00161563633753407,3613,"tags=41%, list=24%, signal=31%","983/6790/10733/4751/55835/54930/10403/9768/55722/5347/23354/9793/1111/55559/80254/152185/56992/54820/4869/26548/197335/80817/163786/64793/84612/9639/7840/2801/55125/4591/899/80071/1017/81565/23122/6491/4957/22995/79839/55142/23411/79441/79959/282809/115106/57018/6566/51510/92421/85459/585/2648/10015/124093/222235/84446/22994/23032",0.557332238758646
"GO:0086012","membrane depolarization during cardiac muscle cell action potential",15,-0.691616950757673,-1.7974111563273,0.0102365257217824,0.0896725755478939,0.0896725755478939,1372,"tags=40%, list=9%, signal=36%","781/6324/3759/775/287/8913",0.380730400722792
"GO:0044331","cell-cell adhesion mediated by cadherin",38,-0.574381873954901,-1.79723433662643,0.00215939932963581,0.0309864957804205,0.0309864957804205,1919,"tags=39%, list=13%, signal=35%","1000/10076/222256/654/1009/144100/10211/79633/1003/2195/9620/10893/1002/1008/120114",0.431707695803346
"GO:0097485","neuron projection guidance",139,-0.45537647345392,-1.79699472281561,6.797484724957e-05,0.00263382695297231,0.00263382695297231,1759,"tags=29%, list=12%, signal=26%","285220/1947/214/6868/5818/6608/2044/1123/2049/91653/9638/4684/8828/374946/6324/6387/8829/9353/2668/7474/91624/26011/5754/2043/2051/219699/10371/6469/4756/26999/9369/8997/1906/55714/2047/23114/57451/9423/5800/10178/2596",0.538434096309916
"GO:0031290","retinal ganglion cell axon guidance",7,-0.855783872318041,-1.79645297298374,0.00146763879878732,0.0239632801646441,0.0239632801646441,1695,"tags=71%, list=11%, signal=63%","214/8829/9353/2047/5800",0.45505986738723
"GO:0007411","axon guidance",138,-0.455566662442576,-1.79500669315928,4.25987834902918e-05,0.00186862424892489,0.00186862424892489,1759,"tags=30%, list=12%, signal=26%","285220/1947/214/6868/5818/6608/2044/1123/2049/91653/9638/4684/8828/374946/6324/6387/8829/9353/2668/7474/91624/26011/5754/2043/2051/219699/10371/6469/4756/26999/9369/8997/1906/55714/2047/23114/57451/9423/5800/10178/2596",0.557332238758646
"GO:0021952","central nervous system projection neuron axonogenesis",14,-0.720587044583606,-1.79498342409021,0.00452343538570684,0.051723929810084,0.051723929810084,963,"tags=36%, list=6%, signal=33%","374946/6324/9353/2043/2047",0.407017918923954
"GO:0030178","negative regulation of Wnt signaling pathway",134,-0.455675089382741,-1.7932915328722,5.57522948333717e-05,0.00234422647777381,0.00234422647777381,2388,"tags=28%, list=16%, signal=23%","4038/2931/51741/51339/6662/80199/164284/10297/64897/30851/10076/26585/4163/1649/3484/23072/3485/857/374946/92162/440193/7474/650/7091/27130/55612/6591/9241/115701/388630/2735/50964/387914/100507050/2737/5800/6423",0.557332238758646
"GO:2001252","positive regulation of chromosome organization",90,0.451945126379272,1.79291790277924,0.000366663256485527,0.00898019425675803,0.00898019425675803,4132,"tags=41%, list=27%, signal=30%","983/9212/23397/4751/1663/225689/23137/26272/220134/4798/5570/54617/26354/3184/1017/4361/84250/51377/6950/10051/286053/10694/8658/2237/7528/3320/25913/55719/3178/65057/125476/84464/472/7175/5885/93973/5609",0.49849310876659
"GO:0001768","establishment of T cell polarity",8,0.797380410317457,1.79216956549757,0.00279743638798326,0.0370345294787513,0.0370345294787513,1,"tags=12%, list=0%, signal=13%","23513",0.431707695803346
"GO:0050850","positive regulation of calcium-mediated signaling",30,-0.587838135114257,-1.79102422626544,0.00482744261289163,0.0539462123166863,0.0539462123166863,2048,"tags=30%, list=14%, signal=26%","3094/23261/6548/5159/29995/5621/6348/1906/3479",0.407017918923954
"GO:0050922","negative regulation of chemotaxis",25,-0.607138680732789,-1.7909632313188,0.00605398365877524,0.0632066002598239,0.0632066002598239,1815,"tags=32%, list=12%, signal=28%","79890/26585/9353/6347/7130/1803/5800/4856",0.407017918923954
"GO:0061437","renal system vasculature development",25,-0.607051019236733,-1.79070464374858,0.00605398365877524,0.0632066002598239,0.0632066002598239,1679,"tags=36%, list=11%, signal=32%","5311/5159/7490/8710/8829/6943/130497/1906/80310",0.407017918923954
"GO:0061440","kidney vasculature development",25,-0.607051019236733,-1.79070464374858,0.00605398365877524,0.0632066002598239,0.0632066002598239,1679,"tags=36%, list=11%, signal=32%","5311/5159/7490/8710/8829/6943/130497/1906/80310",0.407017918923954
"GO:0048806","genitalia development",12,-0.743094041366053,-1.79010889870563,0.00403560056804734,0.0480724665746844,0.0480724665746844,1344,"tags=42%, list=9%, signal=38%","7490/7474/5781/6469/5950",0.407017918923954
"GO:0031069","hair follicle morphogenesis",8,-0.824907034664955,-1.79010846176796,0.00395517183124018,0.0476403689017004,0.0476403689017004,73,"tags=25%, list=0%, signal=25%","596/2304",0.407017918923954
"GO:0002062","chondrocyte differentiation",67,-0.511655262140644,-1.79002832575026,0.000405968706830337,0.00979905020740718,0.00979905020740718,3210,"tags=39%, list=21%, signal=31%","5744/375790/55553/1605/7046/3207/2822/25987/6662/399979/658/26585/654/23516/144347/650/6660/5781/8200/51222/130497/6591/392255/8840/4856/55959",0.49849310876659
"GO:0030216","keratinocyte differentiation",64,-0.505692204257287,-1.78839213796681,0.00121029425376785,0.020917668389515,0.020917668389515,1820,"tags=28%, list=12%, signal=25%","9935/182/301/1832/3868/7474/8754/8644/2069/1475/5266/353137/55506/3713/6703/7062/6704/84648",0.45505986738723
"GO:0071622","regulation of granulocyte chemotaxis",37,-0.571876585615665,-1.78565704212804,0.00302574262994949,0.0391747030370994,0.0391747030370994,1014,"tags=24%, list=7%, signal=23%","1435/9353/6347/7060/7130/8995/1906/1803/1240",0.431707695803346
"GO:0007141","male meiosis I",13,0.697833231154031,1.78515213866386,0.00462192090627264,0.0524472028707926,0.0524472028707926,3429,"tags=54%, list=23%, signal=42%","254528/11077/7589/22887/29988/8900/676",0.407017918923954
"GO:0046601","positive regulation of centriole replication",11,0.730034187089368,1.78502648292507,0.00492334412590066,0.0544998432618533,0.0544998432618533,3068,"tags=64%, list=20%, signal=51%","10733/55835/163786/80071/6491/282809/85459",0.407017918923954
"GO:0007098","centrosome cycle",134,0.426962002684424,1.78492964597783,5.58339072623908e-05,0.00234422647777381,0.00234422647777381,3613,"tags=42%, list=24%, signal=32%","983/6790/10733/4751/55835/54930/10403/9768/55722/5347/23354/9793/1111/55559/80254/152185/56992/54820/4869/26548/197335/80817/163786/64793/84612/9639/7840/2801/55125/4591/899/80071/1017/81565/6491/4957/22995/79839/55142/23411/79441/79959/282809/115106/57018/6566/51510/92421/85459/585/2648/10015/222235/84446/22994/23032",0.557332238758646
"GO:0030201","heparan sulfate proteoglycan metabolic process",38,-0.570444860228069,-1.78491546555045,0.00239284189878733,0.0330167246034553,0.0330167246034553,1789,"tags=26%, list=12%, signal=23%","2135/9394/2817/3340/9955/126792/6448/2132/9956/55959",0.431707695803346
"GO:0060392","negative regulation of SMAD protein signal transduction",19,-0.669731816335088,-1.78463337988492,0.00416141672704414,0.0488766443255773,0.0488766443255773,2376,"tags=42%, list=16%, signal=36%","163126/5300/26585/7049/79674/9241/9518/4856",0.407017918923954
"GO:0005980","glycogen catabolic process",27,0.56953993151522,1.78437032222285,0.00875301893560508,0.0812800083783359,0.0812800083783359,2249,"tags=30%, list=15%, signal=25%","55811/5834/5260/56270/2548/5836/79660/8987",0.380730400722792
"GO:0090199","regulation of release of cytochrome c from mitochondria",36,-0.578839512985791,-1.78380344553844,0.00204538379875718,0.0299955981429838,0.0299955981429838,1717,"tags=33%, list=11%, signal=30%","10105/834/51499/2876/7157/2852/2395/27113/2537/581/4318/3479",0.431707695803346
"GO:0014910","regulation of smooth muscle cell migration",48,-0.53434261274829,-1.7831296856795,0.00267206683432773,0.035696383754951,0.035696383754951,1729,"tags=27%, list=11%, signal=24%","5328/5159/7448/3673/6282/8829/9353/4921/9510/4193/3479/8840/80310",0.431707695803346
"GO:1905521","regulation of macrophage migration",27,-0.601178110233027,-1.7828136777165,0.00701415373705178,0.070597937784915,0.070597937784915,1014,"tags=22%, list=7%, signal=21%","1435/6348/6347/8995/6376/1240",0.407017918923954
"GO:0006119","oxidative phosphorylation",128,-0.451993222091819,-1.78266105932338,0.000141759900509324,0.00451450934420637,0.00451450934420637,4039,"tags=59%, list=27%, signal=43%","4702/1345/4694/84275/1537/10476/4716/1347/54949/539/54539/10975/205327/93974/11315/514/4720/1337/4715/27069/4714/4712/51103/100532726/7415/4725/515/55967/4718/4707/144363/1329/10632/30968/790955/4713/4709/4728/4701/1351/4717/23479/522/92014/4695/79736/29796/126328/10105/6391/215/4700/27089/4541/4512/51079/4540/4539/4708/4509/4538/4696/4514/9551/4513/4508/4537/4535/4519/4536/84300/84277/4726/134145/1340",0.518848077743792
"GO:0060384","innervation",12,-0.739846231403256,-1.78228494481546,0.00443645285612182,0.0513602601127878,0.0513602601127878,925,"tags=33%, list=6%, signal=31%","8829/10371/1906/55959",0.407017918923954
"GO:0003206","cardiac chamber morphogenesis",65,-0.502796642935318,-1.78204277155932,0.00119861781565455,0.0208446021314125,0.0208446021314125,3435,"tags=49%, list=23%, signal=38%","161882/7168/4091/7048/7046/7042/5469/23462/2931/6091/2280/182/3084/5629/6910/55742/9464/1832/2625/7049/8828/8829/9353/1363/3398/650/6664/2626/9241/10370/5950/6423",0.45505986738723
"GO:0051782","negative regulation of cell division",9,0.762173991671969,1.78196292992768,0.00550371386049141,0.059100158403666,0.059100158403666,3066,"tags=78%, list=20%, signal=62%","9212/144455/27183/641/10628/84936/92421",0.407017918923954
"GO:0021533","cell differentiation in hindbrain",7,-0.848602470511034,-1.78137784590587,0.00194597266014149,0.0288121594365534,0.0288121594365534,1570,"tags=71%, list=10%, signal=64%","5629/93986/23017/9241/51286",0.45505986738723
"GO:0019226","transmission of nerve impulse",32,-0.590239356959714,-1.7801824165095,0.00343362786611057,0.0429422650999956,0.0429422650999956,1389,"tags=28%, list=9%, signal=26%","3673/8989/6324/2852/5179/728215/3751/2629/6326",0.431707695803346
"GO:0006935","chemotaxis",281,-0.408673939907123,-1.77989758037327,4.90007325219966e-06,0.000361552303925618,0.000361552303925618,1673,"tags=22%, list=11%, signal=20%","2919/3315/301/3084/26585/6868/5159/55742/3673/2150/5764/2247/10344/811/1890/58191/6288/10718/80270/1435/7114/9023/1525/6387/8829/9353/2920/2668/7474/6348/3592/23768/6347/7060/3569/718/10371/8823/2252/3219/2246/10457/4916/8817/7130/8995/1906/2047/9547/6376/2357/6374/1803/9423/6354/1240/6355/5800/80310/7857/5168/4856",0.610526878385931
"GO:0042330","taxis",281,-0.408673939907123,-1.77989758037327,4.90007325219966e-06,0.000361552303925618,0.000361552303925618,1673,"tags=22%, list=11%, signal=20%","2919/3315/301/3084/26585/6868/5159/55742/3673/2150/5764/2247/10344/811/1890/58191/6288/10718/80270/1435/7114/9023/1525/6387/8829/9353/2920/2668/7474/6348/3592/23768/6347/7060/3569/718/10371/8823/2252/3219/2246/10457/4916/8817/7130/8995/1906/2047/9547/6376/2357/6374/1803/9423/6354/1240/6355/5800/80310/7857/5168/4856",0.610526878385931
"GO:0033262","regulation of nuclear cell cycle DNA replication",10,0.735469294306398,1.77959238236122,0.00704966444128055,0.0707489546548419,0.0707489546548419,1492,"tags=40%, list=10%, signal=36%","8317/10926/54617/51053",0.407017918923954
"GO:0070141","response to UV-A",12,-0.738300939801092,-1.77856234700934,0.0047561888473877,0.0534548337379443,0.0534548337379443,2389,"tags=58%, list=16%, signal=49%","595/4313/4311/10715/7076/4318/4314",0.407017918923954
"GO:0050806","positive regulation of synaptic transmission",98,-0.468989867125863,-1.77719928557133,0.000287636959966193,0.00755961149608683,0.00755961149608683,1354,"tags=21%, list=9%, signal=20%","107/5764/4311/23096/10211/10769/2852/5621/64084/2043/6347/27065/9241/85358/22871/57512/114/22986/134/2903/6863",0.49849310876659
"GO:0007612","learning",68,-0.507476079215771,-1.77629893429862,0.000915090959595014,0.0175781198055539,0.0175781198055539,1539,"tags=25%, list=10%, signal=23%","7122/23208/5764/2019/10396/5896/23236/64084/50944/2258/9241/85358/4130/9369/81832/3356/6863",0.477270815362862
"GO:0001836","release of cytochrome c from mitochondria",46,-0.54169067692391,-1.77569996236008,0.00238704261095033,0.0330142034521553,0.0330142034521553,1228,"tags=26%, list=8%, signal=24%","834/51499/2876/7157/2852/2395/27113/2537/581/4318/3479/596",0.431707695803346
"GO:0030336","negative regulation of cell migration",224,-0.424654797043592,-1.77409224574662,7.87605677374031e-06,0.000487320649642585,0.000487320649642585,2362,"tags=26%, list=16%, signal=23%","374969/5592/6091/25855/23189/80199/493/56999/3162/94241/79890/7026/182/9314/10076/5912/26585/4163/7122/6910/967/1647/84830/1009/2247/811/3868/7076/7049/89795/90865/4804/6387/9353/23236/388/2043/1545/5793/6347/114757/6469/7070/9241/10370/1460/5801/7130/11009/79772/9518/1634/6376/126820/3036/1803/575/4856/6423",0.593325476396405
"GO:2001237","negative regulation of extrinsic apoptotic signaling pathway",65,-0.499766024477555,-1.77130146731258,0.00143635522796465,0.0235835084636208,0.0235835084636208,1904,"tags=26%, list=13%, signal=23%","3162/10197/9314/3084/2876/8829/2668/2537/219699/23017/367/6591/3479/596/7857/2070/6423",0.45505986738723
"GO:0034308","primary alcohol metabolic process",71,-0.496270314775754,-1.77101226681532,0.00092755288669633,0.0177018047662371,0.0177018047662371,883,"tags=21%, list=6%, signal=20%","231/1646/650/8644/5959/55/1545/1645/57016/1543/6783/5950/8228/3479/1551",0.477270815362862
"GO:0045912","negative regulation of carbohydrate metabolic process",34,0.536700922832969,1.77055614040902,0.00264827954391909,0.0354591962623153,0.0354591962623153,2858,"tags=41%, list=19%, signal=33%","388581/2645/23178/150094/2887/4485/7874/5515/114899/1407/79660/5465/9759/151176",0.431707695803346
"GO:0016055","Wnt signaling pathway",352,-0.402214166781391,-1.76952646314392,5.92337011895142e-07,8.09710919981313e-05,8.09710919981313e-05,2404,"tags=23%, list=16%, signal=20%","5218/4038/2931/1952/51741/23499/51339/6662/23189/80199/164284/23043/6907/10297/7976/64897/5300/147699/30851/343637/9314/25876/5311/10076/29969/26585/4163/1649/79971/3484/25806/23072/3485/2625/7472/857/166336/6299/7074/80139/8321/6932/374946/92162/85474/2297/1363/440193/7474/650/8325/130612/7091/27130/5754/2535/9620/100133941/10023/55612/84870/4919/6591/9241/1460/115701/388630/2735/1906/50964/387914/25805/100507050/2737/8840/5800/65267/8549/4856/6423/55959",0.659444398037935
"GO:0071233","cellular response to L-leucine",12,-0.73421607431585,-1.76872193160013,0.00499599117963427,0.0550965031029835,0.0550965031029836,1635,"tags=42%, list=11%, signal=37%","57521/83667/27244/143686/58528",0.407017918923954
"GO:0050727","regulation of inflammatory response",266,-0.406635319551536,-1.76815557686433,2.88716082408527e-06,0.000261088174214972,0.000261088174214972,1365,"tags=17%, list=9%, signal=15%","23208/7133/196/834/2625/6288/7114/90865/9536/145581/3554/3572/10769/145741/2852/7474/7099/5733/6348/9173/1003/8740/3569/7130/7292/2629/144811/4318/8995/3371/6376/2825/1050/3479/6354/1240/26525/8840/134/3557/4314/3356/4856/6863",0.627256739718528
"GO:0060425","lung morphogenesis",12,-0.733958021624031,-1.76810028427928,0.00515585953995609,0.0562292532856559,0.0562292532856559,745,"tags=33%, list=5%, signal=32%","6943/6664/9620/2252",0.407017918923954
"GO:2000146","negative regulation of cell motility",235,-0.414181192353625,-1.76750415983132,7.46779514186263e-06,0.000471996772514715,0.000471996772514715,2362,"tags=27%, list=16%, signal=23%","374969/5592/6091/25855/23189/80199/493/56999/3162/94241/5300/79890/7026/182/9314/10076/5912/26585/4163/50859/7122/6910/1072/967/1647/84830/1009/2247/2625/811/3868/7076/7049/89795/90865/4804/6387/9353/23236/388/2043/1545/5793/6347/114757/6469/7070/9241/10370/1460/5801/7130/11009/79772/9518/1634/6376/126820/3036/1803/575/4856/6423",0.610526878385931
"GO:0006029","proteoglycan metabolic process",88,-0.473459814553912,-1.76637278241811,0.0011190467507241,0.0198723770415597,0.0198723770415597,2683,"tags=32%, list=18%, signal=26%","26229/64131/3074/9435/284/79690/22856/81031/9486/3073/411/2135/9394/658/2817/3340/50515/9469/9955/126792/51363/6448/2132/92126/9956/3479/64377/55959",0.45505986738723
"GO:0035089","establishment of apical/basal cell polarity",11,0.722280894419585,1.76606869575539,0.00576732232803767,0.060971799719794,0.0609717997197939,2106,"tags=36%, list=14%, signal=31%","23513/9368/10207/23616",0.407017918923954
"GO:0061162","establishment of monopolar cell polarity",11,0.722280894419585,1.76606869575539,0.00576732232803767,0.060971799719794,0.0609717997197939,2106,"tags=36%, list=14%, signal=31%","23513/9368/10207/23616",0.407017918923954
"GO:0009142","nucleoside triphosphate biosynthetic process",115,-0.458769449216439,-1.7659941648398,0.000341396743932651,0.00863589129347544,0.00863589129347544,4255,"tags=56%, list=28%, signal=40%","4722/65990/4710/4702/4694/10476/1841/4716/539/54539/93974/514/4832/84833/4720/4715/1353/4833/4714/4712/7415/4725/515/55967/4718/4707/203/10632/518/30968/790955/527/4713/4709/4728/4701/7371/516/4717/522/4830/4695/56848/126328/6391/4700/55022/4541/51079/4540/4539/4708/4509/4538/4696/9551/7114/4508/4537/4535/4536/84277/4726/134145",0.49849310876659
"GO:0045669","positive regulation of osteoblast differentiation",47,-0.528738557298779,-1.76572805961112,0.00451638680039988,0.051723929810084,0.051723929810084,1683,"tags=28%, list=11%, signal=25%","658/654/55603/8321/4921/3572/6664/3569/4037/126820/3479/338773/8840",0.407017918923954
