"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0098813","nuclear chromosome segregation","71/1913","260/12494",0.273076923076923,1.78349350597129,5.42831866775559,3.81122133700838e-07,0.000150948874349426,0.000150948874349426,"64105/2801/254528/55125/22974/6795/225689/4751/55274/2177/26151/81610/84142/23122/57820/3192/23353/3303/7153/983/9319/283847/3304/11004/27175/8881/54617/29893/7756/9212/9735/24137/27183/55143/10734/81620/5347/79980/83540/9055/10388/991/54892/23310/147841/11065/1058/10051/9639/8899/3796/57082/126731/4085/4439/6603/286053/23397/1060/11044/9700/51203/440145/10403/10735/5501/3833/152185/9787/27436/332",71
"GO:0051276","chromosome organization","115/1913","483/12494",0.238095238095238,1.55502451895552,5.2896099496154,4.01248733803269e-07,0.000150948874349426,0.000150948874349426,"167227/7515/4361/64105/2801/254528/55125/328/1663/9401/22974/6795/54464/116447/225689/55355/3087/4751/55274/2177/26151/84142/5394/1677/3148/23122/5888/4137/57820/3192/8091/23353/3303/23244/7153/983/9319/7874/3978/64946/283847/3304/11004/27175/55746/8881/54617/29893/55839/7756/11073/9212/9735/24137/27183/55143/10734/81620/5347/3146/6117/6950/83540/23137/9055/641/10388/991/54892/55795/23310/147841/3149/11065/26354/1058/10051/23421/9639/4436/6119/8899/3796/57082/5893/126731/4085/4439/81550/6603/1017/26272/286053/23397/1060/11044/3184/113130/9700/51203/8940/157570/440145/54780/10403/10735/5501/54069/3833/152185/9787/55183/55320/27436/332",115
"GO:0006260","DNA replication","75/1913","280/12494",0.267857142857143,1.74940258382496,5.39253213468058,4.14613349203838e-07,0.000150948874349426,0.000150948874349426,"4171/6470/4673/4361/1663/9401/177/116447/374393/11124/5984/1111/5888/5427/9837/63901/23244/57523/4174/983/1027/3978/91607/3980/8208/5983/54617/64400/29980/11073/51053/94/890/6240/146956/81620/5985/9768/23594/9767/57695/6117/51514/641/4175/7083/63922/10926/7126/8318/4436/6119/10293/8450/56852/84296/4172/84515/4176/23338/1017/144455/5422/5000/6596/51659/10535/157570/580/79915/54107/56953/201973/11201/57697",75
"GO:0051225","spindle assembly","39/1913","116/12494",0.336206896551724,2.19580186383546,5.50161859532363,6.89530922878323e-07,0.000234302607594054,0.000234302607594054,"55835/2801/55125/55559/79441/22974/6795/225689/4751/26151/84142/54930/23122/3192/55142/3303/3304/54617/7756/23354/9212/24137/55143/5347/9055/10426/9639/3796/126731/80254/114791/440145/10403/10735/3833/152185/29899/163786/332",39
"GO:1903046","meiotic cell cycle process","41/1913","125/12494",0.328,2.14220177731312,5.45705135898617,7.57460644726213e-07,0.000241298556635594,0.000241298556635594,"79173/10635/116138/4361/2801/254528/54888/225689/2177/9088/150365/22887/2956/5888/57820/23353/7153/79703/9319/283847/27175/6790/29893/3306/146956/10734/83540/10388/991/23310/10051/57082/11077/4439/23397/1060/5000/9700/10403/8438/57697",41
"GO:0140694","membraneless organelle assembly","91/1913","366/12494",0.248633879781421,1.62385347307322,5.15057889041136,9.44478961902804e-07,0.000283177015812858,0.000283177015812858,"6194/55835/64105/2801/55125/55559/79441/22974/6795/225689/7138/55355/4751/26151/84142/54930/84033/23122/4137/3192/55142/7840/3303/1153/5563/64946/64793/3304/6125/29997/6228/54617/80817/55839/7756/23354/22995/4869/9212/9735/4591/1654/24137/83939/1466/55143/79959/203228/5347/57146/3921/3856/283/5239/9055/219988/10642/1058/6713/10426/10733/23421/9639/3880/3796/126731/84273/9924/80254/4089/7812/55722/197335/1017/1060/8087/114791/79631/8557/440145/10403/54443/10735/54069/3833/152185/29899/163786/9787/55320/332",91
"GO:0051321","meiotic cell cycle","57/1913","199/12494",0.28643216080402,1.87071793888418,5.26462281525098,1.01527226872917e-06,0.000287491264095143,0.000287491264095143,"79173/10635/116138/4361/2801/254528/54888/6795/400954/225689/4751/2177/9088/150365/22887/2956/5888/57820/23353/7153/55124/79703/9319/283847/27175/8881/6790/29893/3306/157313/146956/10734/143689/6117/83540/10388/991/23310/25777/10051/10426/57082/11077/4439/1017/23397/1060/5000/114791/9271/9700/10403/10735/259266/4288/8438/57697",57
"GO:0007020","microtubule nucleation","22/1913","50/12494",0.44,2.8736853110298,5.64454774425338,1.19260180220532e-06,0.000319931125570553,0.000319931125570553,"55835/2801/55125/55559/79441/22974/11076/54930/23122/55142/3303/3304/653784/27175/23354/4204/9793/54820/10426/81565/114791/440145",22
"GO:0007052","mitotic spindle organization","39/1913","119/12494",0.327731092436975,2.14044551432701,5.31499568226465,1.43226385876729e-06,0.000365012444406844,0.000365012444406844,"3925/55835/2801/55125/22974/6795/83541/26151/84142/23122/3192/3303/64946/3304/27175/6790/7756/9212/24137/55143/5347/126520/83540/9055/9793/25777/9639/3796/126731/2009/440145/10403/10735/3833/152185/29899/163786/9787/332",39
"GO:0061982","meiosis I cell cycle process","30/1913","82/12494",0.365853658536585,2.38942791937067,5.36722203611668,1.80764734952965e-06,0.000438741835264411,0.000438741835264411,"79173/10635/116138/4361/254528/225689/2177/9088/150365/22887/2956/5888/57820/23353/7153/79703/9319/283847/29893/146956/10734/10388/991/57082/11077/4439/1060/10403/8438/57697",30
"GO:1902969","mitotic DNA replication","11/1913","16/12494",0.6875,4.49013329848406,5.93959745857461,2.18235519156728e-06,0.000505612018700837,0.000505612018700837,"4171/5888/9837/3978/51053/81620/4175/7083/8318/4172/5422",11
