"ENSEMBL","ENTREZID","SYMBOL","GENENAME","logFC","logCPM","F","PValue","FDR"
"ENSG00000033178","55236","UBA6","ubiquitin like modifier activating enzyme 6",1.57495441839783,4.73179840300367,14.8939816539155,0.0053049061915622,0.0172261180538385
"ENSG00000205639","388931","MFSD2B","MFSD2 lysolipid transporter B, sphingolipid",1.93513669725654,0.0812720267465946,14.9468366655345,0.00530568186982135,0.0172261180538385
"ENSG00000136197","79020","C7orf25","chromosome 7 open reading frame 25",-1.33582497366465,2.56010657532836,14.8931221888604,0.0053066791320023,0.0172263113014459
"ENSG00000143786","149111","CNIH3","cornichon family AMPA receptor auxiliary protein 3",-1.02319692104695,4.24150091517822,14.8790634392851,0.00531907510937796,0.0172604504079267
"ENSG00000111670","79158","GNPTAB","N-acetylglucosamine-1-phosphate transferase subunits alpha and beta",-1.12206549786007,2.96348361977441,14.873581295982,0.00532475935953063,0.0172758441247929
"ENSG00000276384",NA,NA,NA,-1.60725379032021,-0.604543939604068,14.9753868307461,0.00533286084052087,0.0172917299519012
"ENSG00000263990",NA,NA,NA,1.64439916860538,-1.07015481953506,14.9587069246612,0.00533410426062748,0.0172917299519012
"ENSG00000272954",NA,NA,NA,1.41446083678014,-1.0224873161935,14.9826064567546,0.00533436220127512,0.0172917299519012
"ENSG00000156427","8817","FGF18","fibroblast growth factor 18",-3.36244160046291,0.37236073537214,14.905111353224,0.00534945235203237,0.0173345280837599
"ENSG00000169727","2873","GPS1","G protein pathway suppressor 1",-1.21767070872457,6.1613643885955,14.8419878842116,0.00535404592916656,0.0173402369038769
"ENSG00000102524","10673","TNFSF13B","TNF superfamily member 13b",1.24799500101628,3.13738713422836,14.837389247315,0.0053589930301342,0.0173470840464432
"ENSG00000130653","375775","PNPLA7","patatin like domain 7, lysophospholipase",1.46097065336951,2.19281839741923,14.8273413933045,0.00536957607566651,0.0173752179866116
"ENSG00000268516","105372482","ZNF8-DT","ZNF8 divergent transcript",-1.19074106920946,2.76044131465044,14.8210931317157,0.00537487216791439,0.0173862302737431
"ENSG00000234420",NA,NA,NA,-1.43193266978662,3.02141184539553,14.8052943877057,0.00538992160782736,0.0174237561042733
"ENSG00000267302","101927755","RNFT1-DT","RNFT1 divergent transcript",-2.51131151541554,-0.997264841925546,14.3976521757593,0.00540391530426304,0.0174555871530354
"ENSG00000166896","91419","ATP23","ATP23 metallopeptidase and ATP synthase assembly factor homolog",1.75096422432234,0.320484109642894,14.804151375721,0.00541721588197647,0.0174954739366926
"ENSG00000203666","84288","DRC8","dynein regulatory complex subunit 8",-1.11327291285526,1.91428738060868,14.7766694413022,0.0054186920870044,0.0174971653433417
"ENSG00000274796","79042","TSEN34","tRNA splicing endonuclease subunit 34",-2.27948608984313,-0.256195852178964,14.874978765434,0.00542097025550126,0.0174995357570436
"ENSG00000136937","4686","NCBP1","nuclear cap binding protein subunit 1",-1.11220962976814,4.93116938539518,14.7525684527821,0.00544004221777032,0.0175568474245328
"ENSG00000204983","5644","PRSS1","serine protease 1",1.74718786639836,-0.73009243378284,14.8529486032902,0.00544715153983176,0.0175736167521443
"ENSG00000145604","6502","SKP2","S-phase kinase associated protein 2",1.35292589650749,2.51488774860844,14.7428531531734,0.00545048824997344,0.0175812939687466
"ENSG00000135205","57639","CCDC146","coiled-coil domain containing 146",1.19997052077327,2.48250404404077,14.7390349099886,0.0054541661774056,0.0175869813373602
"ENSG00000260628","388248","LOC388248","Rho GTPase activating protein 23 pseudogene",1.77830807284626,-0.331387443254433,14.8109293123921,0.00546344621567307,0.0176107224042664
"ENSG00000143641","2590","GALNT2","polypeptide N-acetylgalactosaminyltransferase 2",-1.0657914317564,7.3654883627967,14.7227416592946,0.00546910084828685,0.0176258565935139
"ENSG00000237052","63940","GPSM3","G protein signaling modulator 3",3.39919327386793,0.794377650036272,14.8061273741568,0.0054767031620503,0.0176472613728932
"ENSG00000169242","1942","EFNA1","ephrin A1",1.96875043816197,-0.247948961469028,14.7973944290521,0.00547914869915126,0.0176520451777286
"ENSG00000154518","518","ATP5MC3","ATP synthase membrane subunit c locus 3",-1.01456784674212,4.41127590503059,14.7047158157159,0.00548694010211613,0.0176736020622503
"ENSG00000224378","4277","MICB","MHC class I polypeptide-related sequence B",1.90516738302323,1.93209691828136,14.7049467339017,0.00548949800580581,0.0176738509767046
"ENSG00000249961","283847","TERB1","telomere repeat binding bouquet formation protein 1",2.2477040303591,0.509594219048247,14.7359503563653,0.0054936284010472,0.0176831879669243
